,"Net Investment February 01-15, 2022","AUC as on February 15, 2022"
,IN INR Cr.,IN INR Cr.
Sectors,Equity,Equity
Automobiles & Auto Components,-208,206795
Total Financial Services,-1900,1433303
Banks,2760,855653
Other Financial Services1,-4661,577650
Capital Goods,-529,152536
Chemicals & Petrochemicals,-465,81710
Coal,156,7180
Commercial Services & Supplies,-23,40629
Construction Materials,-8,89911
Consumer Durables,-481,132628
Diversified2,296,15543
Diversified Consumer Services,-84,6343
Food & Drugs Retailing,-34,392
"Food, Beverages & Tobacco",63,120466
Forest Materials,45,2195
General Industrials,-308,36649
Hardware Technology & Equipment,-1,87
Healthcare Equipment & Supplies,19,1563
Healthcare Services,-163,58672
"Hotels, Restaurants & Tourism",-798,31785
Household & Personal Products,-962,148630
Insurance,-1496,103454
Media,-518,20238
Metals & Mining,1696,111365
Oil & Gas,-2091,496673
Pharmaceuticals & Biotechnology,1376,159340
Real Estate Investment,0,0
Realty,-603,59887
Retailing,280,81293
Software & Services,-5626,669891
Telecom Services,-172,115172
Telecommunications Equipment,-2,813
"Textiles, Apparels & Accessories",439,75200
Transportation,-53,60911
Airlines,107,15455
Logistics,-56,2448
Marine Port & Services,73,23724
Roads & Highways,11,2238
Shipping,3,1281
Surface Transportation,2,127
Transport Related Services,-101,8923
Airport Services,-93,6715
Utilities3,-764,190683
Sovereign,0,0
Others4,48,16925
Grand Total,-12873,4728861
